MSHA_ID,Average_Employees,Company_Type,Labor_Hours,Mine_Basin,Mine_County,Mine_Name,Mine_State,Mine_Status,Mine_Type,Operating_Company,Operating_Company_Address,Operation_Type,Production_short_tons,Union_Code,Year
103295,18.0,Independent Producer Operator,39175.0,Appalachia Southern,Bibb,Seymour Mine,Alabama,Active,Surface,Hope Coal Company Inc,"P.O. Box 249, Maylene, AL 35114",Mine only,105082.0,,2008
103117,19.0,Operating Subsidiary,29926.0,Appalachia Southern,Cullman,"Mine #2, #3, #4",Alabama,"Active, men working, not producing",Surface,Twin Pines Coal Company Inc,"1874 County Road 15, Bremen, AL 35033",Mine only,10419.0,,2008
103361,20.0,Operating Subsidiary,42542.0,Appalachia Southern,Cullman,Cold Springs West Mine,Alabama,Active,Surface,Twin Pines Coal Company,"74 Industrial Parkway, Jasper, AL 35502",Mine only,143208.0,,2008
100759,395.0,Operating Subsidiary,890710.0,Appalachia Southern,Fayette,North River # 1 Underground Mi,Alabama,Active,Underground,Chevron Mining Inc,"3114 County Road 63 S, Berry, AL 35546",Mine and Preparation Plant,2923261.0,United Mine Workers of America,2008
103246,22.0,Independent Producer Operator,55403.0,Appalachia Southern,Franklin,Bear Creek,Alabama,Active,Surface,"Birmingham Coal & Coke Co., In","912 Edenton Street, Birmingham, AL 35242",Mine only,183137.0,,2008
103374,16.0,Independent Producer Operator,35697.0,Appalachia Southern,Franklin,Meredyth Mine,Alabama,Active,Surface,Hope Coal Company Inc,"P.O. Box 249, Maylene, AL 35114",Mine only,113875.0,,2008
102933,24.0,Independent Producer Operator,59326.0,Appalachia Southern,Jackson,Mine No 2,Alabama,Active,Surface,"Gtm Energy Partners, Llc","440 County Road 464, Flat Rock, AL 35966",Mine only,109589.0,,2008
103206,23.0,Independent Producer Operator,58897.0,Appalachia Southern,Jackson,Mine No 1,Alabama,Active,Surface,Gtm Energy Partners Llc,"440 Co. Road 464, Flat Rock, AL 35966",Mine only,153797.0,,2008
103231,17.0,Independent Producer Operator,37208.0,Appalachia Southern,Jackson,Glade Preparation Plant,Alabama,Active,Surface,"Gtm Energy Partners, Llc","440 Co. Road 464, Flat Rock, AL 35966",Preparation Plant,0.0,,2008
103301,15.0,Independent Producer Operator,57588.0,Appalachia Southern,Jackson,Pit Number 2,Alabama,"Active, men working, not producing",Surface,D&e Mining Llc,"20297 Alabama Hwy 71, Flat Rock, AL 35966",Mine only,38661.0,,2008
103384,12.0,Independent Producer Operator,12293.0,Appalachia Southern,Jackson,Mine No. 3,Alabama,Active,Surface,"Gtm Energy Partners, Llc","442 County Road 464, Flat Rock, AL 35966",Mine only,28819.0,,2008
100329,41.0,Operating Subsidiary,96645.0,Appalachia Southern,Jefferson,Concord Mine,Alabama,Active,Underground,Oak Grove Resources Llc,"8800 Oak Grove Mine Road, Adger, AL 35006",Preparation Plant,0.0,United Mine Workers of America,2008
100851,411.0,Operating Subsidiary,991785.0,Appalachia Southern,Jefferson,Oak Grove Mine,Alabama,Active,Underground,Oak Grove Resources Llc,"8800 Oak Grove Mine Rd, Adger, AL 35006",Mine only,985062.0,United Mine Workers of America,2008
102354,47.0,Independent Producer Operator,102175.0,Appalachia Southern,Jefferson,Lindbergh,Alabama,Active,Surface,C & H Mining Company Inc,"3699 Industrial Parkway, Jasper, AL 35502",Mine only,303483.0,,2008
102901,1.0,Independent Producer Operator,2118.0,Appalachia Southern,Jefferson,Shoal Creek Mine,Alabama,Active,Surface,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",Mine and Preparation Plant,0.0,United Mine Workers of America,2008
102901,540.0,Independent Producer Operator,1350920.0,Appalachia Southern,Jefferson,Shoal Creek Mine,Alabama,Active,Underground,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",Mine and Preparation Plant,2105589.0,United Mine Workers of America,2008
